ACER,ALCATEL,ALLVIEW,AMAZON,AOC,APPLE,ARCHOS,ASUS,Barnes&Noble,BQ,BLU,CAT,CELKON,Croma,D-Link,Datawind,DELL,Flipkart,GeeksPhone,GlobalSpaceTechnologies,Google,HP,HTC,HONOR,HUAWEI,ICEMOBILE,Intex,iBall,iBerry,JOLLA,KARBONN,LAVA,LENOVO,LG,MapmyIndia,Mercury,Metis,MICROMAX,MICROSOFT,Milagrow,MillenniumTelesystems,Mitashi,MOTOROLA,Nokia,Notion Ink,NVIDIA,Panasonic,Pantel,PLUM,PRESTIGO,QMOBILE,QTEK,RAZER,REALME,SAGEM,SAMSUNG,Smart,Smartlink,Smartron,SONY,SPICE,Swipe,T-MOBILE,Toshiba,VERYKOOL,Videocon,Wickedleak,Wintab,XIAOMI,XOLO,YEZZ,ZTE,Zebronics
,,,,,,,Memo Pad HD7 8 GB,,,,,,,,,,,,,,,,,MediaPad M5 10,,,iBall Slide O900-C,,,,,IdeaTab S6000L,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 3 10.1 P5200,,,,,,,,,,,,,,,,,
,,,,,,,Memo Pad HD7 16 GB,,,,,,,,,,,,,,,,,MediaPad M5 8,,,iBall Slide Octa A41,,,,,IdeaTab S6000,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 3 10.1 P5210,,,,,,,,,,,,,,,,,
,,,,,,,Fonepad,,,,,,,,,,,,,,,,,MediaPad M3 Lite 8,,,iBall Slide PenBook,,,,,IdeaTab A3000,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 3 10.1 P5220,,,,,,,,,,,,,,,,,
,,,,,,,Memo Pad Smart 10,,,,,,,,,,,,,,,,,MediaPad T3 10,,,iBall Slide Q27 4G,,,,,IdeaTab A1000,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 3 7.0,,,,,,,,,,,,,,,,,
,,,,,,,Memo Pad ME172V,,,,,,,,,,,,,,,,,MediaPad M3 Lite 10,,,iBall Slide Q40i,,,,,IdeaTab A2107,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 3 7.0 WiFi,,,,,,,,,,,,,,,,,
,,,,,,,Google Nexus 7 Cellular,,,,,,,,,,,,,,,,,,,,iBall Slide Snap 4G2,,,,,IdeaPad S2,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 3 8.0,,,,,,,,,,,,,,,,,
,,,,,,,VivoTab RT TF600T,,,,,,,,,,,,,,,,,,,,iBall Slide Stellar A2,,,,,LePad S2010,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 3 Lite 7.0,,,,,,,,,,,,,,,,,
,,,,,,,Google Nexus 7,,,,,,,,,,,,,,,,,,,,iBall Slide Wings,,,,,LePad S2007,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 3 Lite 7.0 3G,,,,,,,,,,,,,,,,,
,,,,,,,Transformer Pad Infinity 700 LTE,,,,,,,,,,,,,,,,,,,,iBall Slide WQ149,,,,,LePad S2005,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 3 Plus 10.1 P8220,,,,,,,,,,,,,,,,,
,,,,,,,Transformer Pad Infinity 700 3G,,,,,,,,,,,,,,,,,,,,iBall Slide WQ149i,,,,,IdeaPad A1,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 10.1,,,,,,,,,,,,,,,,,
,,,,,,,Transformer Pad TF300TG,,,,,,,,,,,,,,,,,,,,iBall Slide WQ149R,,,,,IdeaPad K1,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 10.1 3G,,,,,,,,,,,,,,,,,
,,,,,,,Transformer Pad TF300T,,,,,,,,,,,,,,,,,,,,iBall Slide WQ32,,,,,ThinkPad,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 10.1 LTE,,,,,,,,,,,,,,,,,
,,,,,,,Transformer Pad Infinity 700,,,,,,,,,,,,,,,,,,,,iBall Slide WQ77,,,,,Yoga Tablet 10,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 7.0,,,,,,,,,,,,,,,,,
,,,,,,,Memo,,,,,,,,,,,,,,,,,,,,,,,,,Yoga Tablet 8,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 7.0 3G,,,,,,,,,,,,,,,,,
,,,,,,,Transformer Prime TF700T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 7.0 LTE,,,,,,,,,,,,,,,,,
,,,,,,,Transformer Prime TF201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 8.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 8.0 (2015),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 8.0 3G,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4 8.0 LTE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 4G LTE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 7.7 LTE I815,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 8.9 4G P7320T,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 8.9 LTE I957,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 8.9 P7300,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab 8.9 P7310,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab Active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab Active LTE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab CDMA P100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab Pro 10.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab Pro 10.1 LTE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab Pro 12.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab Pro 12.2 3G,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab Pro 12.2 LTE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab Pro 8.4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab Pro 8.4 3G/LTE,,,,,,,,,,,,,,,,,
