ACER,ALCATEL,ALLVIEW,AMAZON,AOC,AMOI,APPLE,ARCHOS,ASUS,AT&T,BENEFON,BENQ,BENQ-SIEMENS,BIRD,BLACKBERRY,BLACK VIEW,BLU,BOSCH,BQ,CASIO,CAT,CELKON,CHEA,COOLPAD ,DELL,EMPORIA,ENERGIZER,ERICSSON,ETEN,FUJITSU SIEMENS,GARMIN-AUS,GIGABYTE,GIONEE,GOGGLE,HAIER,HONOR,HP,HTC,HUAWEI,I-MATE,I-MOBILE,ICEMOBILE,INFINIX,INNOSTREAM,INQ,INTEX,JOLLA,KARBONN,KYOCERA,LAVA,LEECO,LENOVO,LG,MAXON,MAXWEST,MEIZU,MICROMAX,MICROSOFT,MITAC,MITSUBISHI,MODU,MOTOROLA,MWG,NEC,NEONODE,NIU,NOKIA,NVIDIA,O2,ONEPLUS,OPPO,ORANGE,PALM,PANASONIC,PANTAECH,PARLA,PHILIPS,PLUM,POSH,PRESTIGO,QMOBILE,QTEK,RAZER,REALME,SAGEM,SAMSUNG,SENDO,SEWON,SHARP,SIEMENS,SONIM,SONY,SONY ERICSSON,SPICE,T-MOBILE,TCL,TECNO,TEL.ME.,TELIT,THURAYA,TOSHIBA,ULEFONE,UNNECTO,VERTU,VERYKOOL,VIVO,VK MOBILE,VODAFONE,WIKO,WND,XCUTE,XIAOMI,XOLO,YEZZ,YOTA,YU,ZTE
,OT View db @,P5 Mini,,,,,,,,,,,,,,Quattro 4.5,,,,,A7,,,,,,,,,,,,,,,,One M8 Prime,P Smart Z,,,,,,,,,,,,,ZUK Z2 Pro,G7 Fit,,,,Canvas Spark 2 Q334,,,,,KRZR K1,,,,,6555,,,,,,,,,,X100,,,,,,,,,D300,,,,,,,C905,,,,,,,,,,,,,,,,,,,,,,,,N290
,OT-102,P5 AllDro,,,,,,,,,,,,,,Quattro 4.5 HD,,,,,A88,,,,,,,,,,,,,,,,One M8s,P Smart+ 2019,,,,,,,,,,,,,,G7 One,,,,Canvas Spark 3 Q385,,,,,KRZR K3,,,,,6600,,,,,,,,,,X116,,,,,,,,,D410,,,,,,,F305,,,,,,,,,,,,,,,,,,,,,,,,N721
,OT-103,P4 AllDro,,,,,,,,,,,,,,Quattro 5.7 HD,,,,,C770 Dj,,,,,,,,,,,,,,,,One M9,P10,,,,,,,,,,,,,,G7 ThinQ,,,,Canvas Spark 4G Q4201,,,,,L2,,,,,6610,,,,,,,,,,X125,,,,,,,,,D428,,,,,,,K330,,,,,,,,,,,,,,,,,,,,,,,,N880E
,OT-105,P3 AllDro,,,,,,,,,,,,,,R1 HD,,,,,C769,,,,,,,,,,,,,,,,One M9 Prime Camera,P10 Lite,,,,,,,,,,,,,,G7000,,,,Canvas Spark Q380,,,,,L6,,,,,6620,,,,,,,,,,X128,,,,,,,,,D488,,,,,,,G900,,,,,,,,,,,,,,,,,,,,,,,,N910
,OT-106,P2 AllDro,,,,,,,,,,,,,,R1 Plus,,,,,C349,,,,,,,,,,,,,,,,One M9+,P10 Plus,,,,,,,,,,,,,,G7020,,,,Canvas Tab P650,,,,,L800t,,,,,6630,,,,,,,,,,X130,,,,,,,,,D500,,,,,,,G700 Business Edition,,,,,,,,,,,,,,,,,,,,,,,,Nova 3.5
,OT-108,,,,,,,,,,,,,,,R2,,,,,C337,,,,,,,,,,,,,,,,One M9+ Supreme Camera,P20,,,,,,,,,,,,,,G7030,,,,Canvas Tab P690,,,,,Luge,,,,,6650,,,,,,,,,,X1510,,,,,,,,,D510,,,,,,,K770,,,,,,,,,,,,,,,,,,,,,,,,Nova 4 V8000
,OT-109,,,,,,,,,,,,,,,R2 LTE,,,,,C260,,,,,,,,,,,,,,,,One M9s,P20 lite,,,,,,,,,,,,,,G7050,,,,Canvas Turbo,,,,,M3188,,,,,6670,,,,,,,,,,X1560,,,,,,,,,D520,,,,,,,K850,,,,,,,,,,,,,,,,,,,,,,,,Nova Messenger
,OT-111,,,,,,,,,,,,,,,R2 Plus,,,,,C70,,,,,,,,,,,,,,,,One Max,P20 lite (2019),,,,,,,,,,,,,,G7070,,,,Canvas Turbo Mini,,,,,M3288,,,,,6680,,,,,,,,,,X216,,,,,,,,,D550,,,,,,,K530,,,,,,,,,,,,,,,,,,,,,,,,nubia M2
,OT-112,,,,,,,,,,,,,,,S1,,,,,C55,,,,,,,,,,,,,,,,One ME,P20 Pro,,,,,,,,,,,,,,G7100,,,,Canvas Unite 4,,,,,M3588,,,,,6681,,,,,,,,,,X223,,,,,,,,,D600,,,,,,,P1,,,,,,,,,,,,,,,,,,,,,,,,nubia M2 lite
,OT-113,,,,,,,,,,,,,,,Samba,,,,,A9,,,,,,,,,,,,,,,,One mini,P30,,,,,,,,,,,,,,G7120,,,,Canvas Unite 4 Pro,,,,,M3688,,,,,6708,,,,,,,,,,X2300,,,,,,,,,D700,,,,,,,K810,,,,,,,,,,,,,,,,,,,,,,,,nubia M2 Play
,OT-117,,,,,,,,,,,,,,,Samba Elite,,,,,A99,,,,,,,,,,,,,,,,One mini 2,P30 lite,,,,,,,,,,,,,,G7200,,,,Canvas Win W092,,,,,M3788,,,,,6788,,,,,,,,,,X2301,,,,,,,,,D710,,,,,,,K550,,,,,,,,,,,,,,,,,,,,,,,,nubia My Prague
,OT-202,,,,,,,,,,,,,,,Samba JR,,,,,C3030,,,,,,,,,,,,,,,,One Remix,P30 lite New Edition,,,,,,,,,,,,,,G8 ThinQ,,,,Canvas Win W121,,,,,M3888,,,,,6800,,,,,,,,,,X2560,,,,,,,,,D720,,,,,,,K220,,,,,,,,,,,,,,,,,,,,,,,,nubia N1
