ACER,ALCATEL,ALLVIEW,AMAZON,AOC,AMOI,APPLE,ARCHOS,ASUS,AT&T,BENEFON,BENQ,BENQ-SIEMENS,BIRD,BLACKBERRY,BLACK VIEW,BLU,BOSCH,BQ,CASIO,CAT,CELKON,CHEA,COOLPAD ,DELL,EMPORIA,ENERGIZER,ERICSSON,ETEN,FUJITSU SIEMENS,GARMIN-AUS,GIGABYTE,GIONEE,GOGGLE,HAIER,HONOR,HP,HTC,HUAWEI,I-MATE,I-MOBILE,ICEMOBILE,INFINIX,INNOSTREAM,INQ,INTEX,JOLLA,KARBONN,KYOCERA,LAVA,LEECO,LENOVO,LG,MAXON,MAXWEST,MEIZU,MICROMAX,MICROSOFT,MITAC,MITSUBISHI,MODU,MOTOROLA,MWG,NEC,NEONODE,NIU,NOKIA,NVIDIA,O2,ONEPLUS,OPPO,ORANGE,PALM,PANASONIC,PANTAECH,PARLA,PHILIPS,PLUM,POSH,PRESTIGO,QMOBILE,QTEK,RAZER,REALME,SAGEM,SAMSUNG,SENDO,SEWON,SHARP,SIEMENS,SONIM,SONY,SONY ERICSSON,SPICE,T-MOBILE,TCL,TECNO,TEL.ME.,TELIT,THURAYA,TOSHIBA,ULEFONE,UNNECTO,VERTU,VERYKOOL,VIVO,VK MOBILE,VODAFONE,WIKO,WND,XCUTE,XIAOMI,XOLO,YEZZ,YOTA,YU,ZTE
,Pixi First,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KP501 Cookie,,,,,,,,,Timeport 280,,,,,C1-02,,,,,,,,,,,,,,,,,,,Galaxy A7 (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KP502 Cookie,,,,,,,,,Timeport L7089,,,,,C2-00,,,,,,,,,,,,,,,,,,,Galaxy A7 (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 2 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS10,,,,,,,,,Timeport P7389,,,,,C2-01,,,,,,,,,,,,,,,,,,,Galaxy A7 Duos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 2 (4.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS20,,,,,,,,,Triumph,,,,,C2-02,,,,,,,,,,,,,,,,,,,Galaxy A70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 2 (4.5) Dual SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS360,,,,,,,,,Tundra VA76r,,,,,C2-03,,,,,,,,,,,,,,,,,,,Galaxy A70s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 2 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS365,,,,,,,,,U9,,,,,C2-05,,,,,,,,,,,,,,,,,,,Galaxy A71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 2 (5) Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS500,,,,,,,,,V.box(V100),,,,,C2-06,,,,,,,,,,,,,,,,,,,Galaxy A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 3 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS660,,,,,,,,,V1000,,,,,C3,,,,,,,,,,,,,,,,,,,Galaxy A8 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 3 (5.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KT520,,,,,,,,,V1050,,,,,C3-01 Gold Edition,,,,,,,,,,,,,,,,,,,Galaxy A8 (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KT610,,,,,,,,,V1100,,,,,C3-01 Touch and Type,,,,,,,,,,,,,,,,,,,Galaxy A8 Duos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 4+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KT770,,,,,,,,,V150,,,,,C5,,,,,,,,,,,,,,,,,,,Galaxy A8 Star (A9 Star),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 4S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU2100,,,,,,,,,V171,,,,,C5 5MP,,,,,,,,,,,,,,,,,,,Galaxy A8+ (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU250,,,,,,,,,V176,,,,,C5 TD-SCDMA,,,,,,,,,,,,,,,,,,,Galaxy A80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 7 LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU311,,,,,,,,,V180,,,,,C5-03,,,,,,,,,,,,,,,,,,,Galaxy A8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 7S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU380,,,,,,,,,V186,,,,,C5-04,,,,,,,,,,,,,,,,,,,Galaxy A9 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU385,,,,,,,,,V188,,,,,C5-05,,,,,,,,,,,,,,,,,,,Galaxy A9 (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop 8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU580,,,,,,,,,V191,,,,,C5-06,,,,,,,,,,,,,,,,,,,Galaxy A9 Pro (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop Astro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU730,,,,,,,,,V195,,,,,C6,,,,,,,,,,,,,,,,,,,Galaxy A90 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU800,,,,,,,,,V220,,,,,C6-01,,,,,,,,,,,,,,,,,,,Galaxy Ace 2 I8160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU950,,,,,,,,,V226,,,,,C7,,,,,,,,,,,,,,,,,,,Galaxy Ace 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU970 Shine,,,,,,,,,V2288,,,,,C7 Astound,,,,,,,,,,,,,,,,,,,Galaxy Ace 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU990 Viewty,,,,,,,,,V230,,,,,E5,,,,,,,,,,,,,,,,,,,Galaxy Ace 4 LTE G313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L Bello,,,,,,,,,V235,,,,,E50,,,,,,,,,,,,,,,,,,,Galaxy Ace Advance S6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop C9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L Fino,,,,,,,,,V290,,,,,E51,,,,,,,,,,,,,,,,,,,Galaxy Ace Duos I589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L Prime,,,,,,,,,V291,,,,,E51 camera-free,,,,,,,,,,,,,,,,,,,Galaxy Ace Duos S6802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1100,,,,,,,,,V295,,,,,E52,,,,,,,,,,,,,,,,,,,Galaxy Ace II X S7560M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L20,,,,,,,,,V300,,,,,E55,,,,,,,,,,,,,,,,,,,Galaxy Ace NXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L30,,,,,,,,,V303,,,,,E6,,,,,,,,,,,,,,,,,,,Galaxy Ace Plus S7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3100,,,,,,,,,V360,,,,,E60,,,,,,,,,,,,,,,,,,,Galaxy Ace S5830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L341i,,,,,,,,,V361,,,,,E61,,,,,,,,,,,,,,,,,,,Galaxy Ace S5830I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop S7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L342i,,,,,,,,,V3688,,,,,E61i,,,,,,,,,,,,,,,,,,,Galaxy Ace Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L343i,,,,,,,,,V3690,,,,,E62,,,,,,,,,,,,,,,,,,,Galaxy Ace Style LTE G357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L35,,,,,,,,,V3x,,,,,E63,,,,,,,,,,,,,,,,,,,Galaxy Alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop Star LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L40 D160,,,,,,,,,V400p,,,,,E65,,,,,,,,,,,,,,,,,,,Galaxy Alpha (S801),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pop Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L40 Dual D170,,,,,,,,,V50,,,,,E66,,,,,,,,,,,,,,,,,,,Galaxy Appeal I827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pulsemix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L45 Dual X132,,,,,,,,,V500,,,,,E7,,,,,,,,,,,,,,,,,,,Galaxy Attain 4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roadsign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L50,,,,,,,,,V501,,,,,E70,,,,,,,,,,,,,,,,,,,Galaxy Avant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shine Lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5100,,,,,,,,,V525,,,,,E71,,,,,,,,,,,,,,,,,,,Galaxy Axiom R830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L60,,,,,,,,,V535,,,,,E72,,,,,,,,,,,,,,,,,,,Galaxy Beam2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L60 Dual,,,,,,,,,V547,,,,,E73 Mode,,,,,,,,,,,,,,,,,,,Galaxy C10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U5 HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L600v,,,,,,,,,V555,,,,,E75,,,,,,,,,,,,,,,,,,,Galaxy C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L65 D280,,,,,,,,,V557,,,,,E90,,,,,,,,,,,,,,,,,,,Galaxy C5 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L65 Dual D285,,,,,,,,,V560,,,,,Lumia 1020,,,,,,,,,,,,,,,,,,,Galaxy C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L70 D320N,,,,,,,,,V60,,,,,Lumia 1320,,,,,,,,,,,,,,,,,,,Galaxy C7 (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L70 Dual D325,,,,,,,,,V600,,,,,Lumia 1520,,,,,,,,,,,,,,,,,,,Galaxy C7 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L80,,,,,,,,,V60i,,,,,Lumia 505,,,,,,,,,,,,,,,,,,,Galaxy C9 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L80 Dual,,,,,,,,,V620,,,,,Lumia 510,,,,,,,,,,,,,,,,,,,Galaxy Camera 2 GC200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L90 D405,,,,,,,,,V635,,,,,Lumia 520,,,,,,,,,,,,,,,,,,,Galaxy Camera GC100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L90 Dual D410,,,,,,,,,V66,,,,,Lumia 525,,,,,,,,,,,,,,,,,,,Galaxy Chat B5330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon,,,,,,,,,V66i,,,,,Lumia 530,,,,,,,,,,,,,,,,,,,Galaxy Core Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG 510w,,,,,,,,,V690,,,,,Lumia 530 Dual SIM,,,,,,,,,,,,,,,,,,,Galaxy Core I8260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG-200,,,,,,,,,V70,,,,,Lumia 610,,,,,,,,,,,,,,,,,,,Galaxy Core II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG-500,,,,,,,,,V750,,,,,Lumia 610 NFC,,,,,,,,,,,,,,,,,,,Galaxy Core Lite LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG-600,,,,,,,,,V80,,,,,Lumia 620,,,,,,,,,,,,,,,,,,,Galaxy Core LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucid 3 VS876,,,,,,,,,v8088,,,,,Lumia 625,,,,,,,,,,,,,,,,,,,Galaxy Core LTE G386W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucid 4G VS840,,,,,,,,,V872,,,,,Lumia 630,,,,,,,,,,,,,,,,,,,Galaxy Core Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucid2 VS870,,,,,,,,,V878,,,,,Lumia 630 Dual SIM,,,,,,,,,,,,,,,,,,,Galaxy Core Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4300,,,,,,,,,V975,,,,,Lumia 635,,,,,,,,,,,,,,,,,,,Galaxy Discover S730M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4330,,,,,,,,,V980,,,,,Lumia 638,,,,,,,,,,,,,,,,,,,Galaxy E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4410,,,,,,,,,VE538,,,,,Lumia 710,,,,,,,,,,,,,,,,,,,Galaxy E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M6100,,,,,,,,,VE66,,,,,Lumia 710 T-Mobile,,,,,,,,,,,,,,,,,,,Galaxy Exhibit T599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mach LS860,,,,,,,,,VE75,,,,,Lumia 720,,,,,,,,,,,,,,,,,,,Galaxy Express 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magna,,,,,,,,,W160,,,,,Lumia 730 Dual SIM,,,,,,,,,,,,,,,,,,,Galaxy Express I437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marquee LS855,,,,,,,,,W161,,,,,Lumia 735,,,,,,,,,,,,,,,,,,,Galaxy Express I8730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG160,,,,,,,,,W177,,,,,Lumia 800,,,,,,,,,,,,,,,,,,,Galaxy Express Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG295,,,,,,,,,W180,,,,,Lumia 810,,,,,,,,,,,,,,,,,,,Galaxy F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motion 4G MS770,,,,,,,,,W181,,,,,Lumia 820,,,,,,,,,,,,,,,,,,,Galaxy Fame Lite Duos S6792L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nexus 4 E960,,,,,,,,,W205,,,,,Lumia 822,,,,,,,,,,,,,,,,,,,Galaxy Fame Lite S6790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nexus 5,,,,,,,,,W208,,,,,Lumia 830,,,,,,,,,,,,,,,,,,,Galaxy Fame S6810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nexus 5X,,,,,,,,,W209,,,,,Lumia 900,,,,,,,,,,,,,,,,,,,Galaxy Fit S5670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nitro HD,,,,,,,,,W213,,,,,Lumia 900 AT&T,,,,,,,,,,,,,,,,,,,Galaxy Fold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Octane,,,,,,,,,W215,,,,,Lumia 920,,,,,,,,,,,,,,,,,,,Galaxy Fold 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus 2 AS680,,,,,,,,,W218,,,,,Lumia 925,,,,,,,,,,,,,,,,,,,Galaxy Folder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus 2X,,,,,,,,,W220,,,,,Lumia 928,,,,,,,,,,,,,,,,,,,Galaxy Folder2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus 2X SU660,,,,,,,,,W230,,,,,Lumia 930,,,,,,,,,,,,,,,,,,,Galaxy Fresh S7390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus 3D Cube SU870,,,,,,,,,W231,,,,,Lumia Icon,,,,,,,,,,,,,,,,,,,Galaxy Gio S5660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus 3D Max P720,,,,,,,,,W233 Renew,,,,,Mural,,,,,,,,,,,,,,,,,,,Galaxy Grand 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus 3D P920,,,,,,,,,W270,,,,,N1,,,,,,,,,,,,,,,,,,,Galaxy Grand 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus 4G LTE P935,,,,,,,,,W360,,,,,N70,,,,,,,,,,,,,,,,,,,Galaxy Grand I9080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus 4X HD P880,,,,,,,,,W375,,,,,N71,,,,,,,,,,,,,,,,,,,Galaxy Grand I9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus Big LU6800,,,,,,,,,W377,,,,,N72,,,,,,,,,,,,,,,,,,,Galaxy Grand Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus Black (White version),,,,,,,,,W380,,,,,N73,,,,,,,,,,,,,,,,,,,Galaxy Grand Neo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus Black P970,,,,,,,,,W388,,,,,N75,,,,,,,,,,,,,,,,,,,Galaxy Grand Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus Chat C550,,,,,,,,,W395,,,,,N76,,,,,,,,,,,,,,,,,,,Galaxy Grand Prime Duos TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus Chic E720,,,,,,,,,W396,,,,,N77,,,,,,,,,,,,,,,,,,,Galaxy Grand Prime Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus Elite LS696,,,,,,,,,W490,,,,,N78,,,,,,,,,,,,,,,,,,,Galaxy I8250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus EX SU880,,,,,,,,,W510,,,,,N79,,,,,,,,,,,,,,,,,,,Galaxy J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus F3,,,,,,,,,W7 Active Edition,,,,,N8,,,,,,,,,,,,,,,,,,,Galaxy J Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus F3Q,,,,,,,,,WILDER,,,,,N80,,,,,,,,,,,,,,,,,,,Galaxy J1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus F5,,,,,,,,,WX160,,,,,N800,,,,,,,,,,,,,,,,,,,Galaxy J1 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus F6,,,,,,,,,WX161,,,,,N81,,,,,,,,,,,,,,,,,,,Galaxy J1 4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimus F7,,,,,,,,,WX180,,,,,N81 8GB,,,,,,,,,,,,,,,,,,,Galaxy J1 Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
